file_base,label,split
reggae__reggae.00058,reggae,train
disco__disco.00080,disco,train
pop__pop.00018,pop,train
metal__metal.00014,metal,train
jazz__jazz.00077,jazz,train
country__country.00054,country,train
metal__metal.00056,metal,train
disco__disco.00065,disco,train
classical__classical.00018,classical,train
disco__disco.00081,disco,train
metal__metal.00041,metal,train
blues__blues.00062,blues,train
hiphop__hiphop.00051,hiphop,train
blues__blues.00077,blues,train
metal__metal.00000,metal,train
pop__pop.00090,pop,train
rock__rock.00011,rock,train
pop__pop.00085,pop,train
rock__rock.00088,rock,train
pop__pop.00058,pop,train
hiphop__hiphop.00035,hiphop,train
pop__pop.00024,pop,train
metal__metal.00078,metal,train
reggae__reggae.00019,reggae,train
pop__pop.00000,pop,train
classical__classical.00003,classical,train
metal__metal.00067,metal,train
jazz__jazz.00036,jazz,train
rock__rock.00010,rock,train
blues__blues.00027,blues,train
disco__disco.00057,disco,train
country__country.00007,country,train
hiphop__hiphop.00076,hiphop,train
metal__metal.00037,metal,train
jazz__jazz.00081,jazz,train
pop__pop.00077,pop,train
pop__pop.00050,pop,train
disco__disco.00097,disco,train
blues__blues.00069,blues,train
metal__metal.00071,metal,train
disco__disco.00090,disco,train
reggae__reggae.00059,reggae,train
pop__pop.00005,pop,train
blues__blues.00097,blues,train
hiphop__hiphop.00073,hiphop,train
hiphop__hiphop.00021,hiphop,train
pop__pop.00030,pop,train
metal__metal.00007,metal,train
disco__disco.00078,disco,train
hiphop__hiphop.00094,hiphop,train
hiphop__hiphop.00074,hiphop,train
hiphop__hiphop.00045,hiphop,train
pop__pop.00043,pop,train
hiphop__hiphop.00095,hiphop,train
blues__blues.00035,blues,train
reggae__reggae.00060,reggae,train
hiphop__hiphop.00041,hiphop,train
jazz__jazz.00072,jazz,train
blues__blues.00041,blues,train
metal__metal.00059,metal,train
hiphop__hiphop.00034,hiphop,train
country__country.00034,country,train
metal__metal.00013,metal,train
blues__blues.00075,blues,train
disco__disco.00034,disco,train
blues__blues.00093,blues,train
metal__metal.00074,metal,train
country__country.00015,country,train
jazz__jazz.00044,jazz,train
hiphop__hiphop.00079,hiphop,train
blues__blues.00040,blues,train
rock__rock.00089,rock,train
reggae__reggae.00027,reggae,train
jazz__jazz.00062,jazz,train
hiphop__hiphop.00000,hiphop,train
blues__blues.00021,blues,train
rock__rock.00059,rock,train
classical__classical.00070,classical,train
blues__blues.00030,blues,train
country__country.00086,country,train
blues__blues.00049,blues,train
jazz__jazz.00022,jazz,train
blues__blues.00007,blues,train
classical__classical.00059,classical,train
disco__disco.00074,disco,train
blues__blues.00066,blues,train
classical__classical.00066,classical,train
metal__metal.00054,metal,train
disco__disco.00091,disco,train
classical__classical.00091,classical,train
disco__disco.00042,disco,train
pop__pop.00026,pop,train
hiphop__hiphop.00085,hiphop,train
disco__disco.00073,disco,train
classical__classical.00026,classical,train
hiphop__hiphop.00083,hiphop,train
reggae__reggae.00081,reggae,train
reggae__reggae.00077,reggae,train
rock__rock.00041,rock,train
metal__metal.00027,metal,train
metal__metal.00009,metal,train
jazz__jazz.00047,jazz,train
jazz__jazz.00024,jazz,train
blues__blues.00018,blues,train
classical__classical.00005,classical,train
hiphop__hiphop.00055,hiphop,train
reggae__reggae.00048,reggae,train
rock__rock.00096,rock,train
pop__pop.00075,pop,train
hiphop__hiphop.00056,hiphop,train
jazz__jazz.00053,jazz,train
jazz__jazz.00010,jazz,train
rock__rock.00084,rock,train
jazz__jazz.00074,jazz,train
jazz__jazz.00019,jazz,train
rock__rock.00043,rock,train
metal__metal.00094,metal,train
reggae__reggae.00083,reggae,train
country__country.00073,country,train
reggae__reggae.00010,reggae,train
pop__pop.00011,pop,train
disco__disco.00000,disco,train
blues__blues.00068,blues,train
blues__blues.00052,blues,train
pop__pop.00074,pop,train
country__country.00079,country,train
jazz__jazz.00067,jazz,train
hiphop__hiphop.00060,hiphop,train
reggae__reggae.00053,reggae,train
jazz__jazz.00075,jazz,train
classical__classical.00060,classical,train
hiphop__hiphop.00029,hiphop,train
reggae__reggae.00070,reggae,train
jazz__jazz.00071,jazz,train
classical__classical.00098,classical,train
reggae__reggae.00026,reggae,train
rock__rock.00056,rock,train
metal__metal.00065,metal,train
rock__rock.00090,rock,train
disco__disco.00004,disco,train
classical__classical.00088,classical,train
blues__blues.00022,blues,train
classical__classical.00095,classical,train
metal__metal.00021,metal,train
rock__rock.00002,rock,train
rock__rock.00080,rock,train
rock__rock.00077,rock,train
disco__disco.00070,disco,train
disco__disco.00043,disco,train
metal__metal.00075,metal,train
blues__blues.00034,blues,train
classical__classical.00015,classical,train
reggae__reggae.00033,reggae,train
hiphop__hiphop.00068,hiphop,train
country__country.00092,country,train
hiphop__hiphop.00030,hiphop,train
reggae__reggae.00069,reggae,train
country__country.00097,country,train
classical__classical.00031,classical,train
pop__pop.00001,pop,train
country__country.00080,country,train
rock__rock.00047,rock,train
jazz__jazz.00082,jazz,train
reggae__reggae.00031,reggae,train
metal__metal.00024,metal,train
disco__disco.00030,disco,train
disco__disco.00028,disco,train
jazz__jazz.00059,jazz,train
country__country.00012,country,train
metal__metal.00004,metal,train
blues__blues.00004,blues,train
jazz__jazz.00037,jazz,train
rock__rock.00024,rock,train
classical__classical.00030,classical,train
hiphop__hiphop.00098,hiphop,train
blues__blues.00076,blues,train
blues__blues.00029,blues,train
pop__pop.00091,pop,train
rock__rock.00068,rock,train
disco__disco.00096,disco,train
hiphop__hiphop.00092,hiphop,train
metal__metal.00092,metal,train
reggae__reggae.00045,reggae,train
classical__classical.00055,classical,train
country__country.00023,country,train
country__country.00072,country,train
country__country.00014,country,train
blues__blues.00084,blues,train
reggae__reggae.00075,reggae,train
reggae__reggae.00013,reggae,train
country__country.00008,country,train
classical__classical.00093,classical,train
pop__pop.00067,pop,train
country__country.00055,country,train
metal__metal.00051,metal,train
country__country.00022,country,train
rock__rock.00027,rock,train
jazz__jazz.00031,jazz,train
rock__rock.00034,rock,train
country__country.00093,country,train
hiphop__hiphop.00031,hiphop,train
metal__metal.00022,metal,train
classical__classical.00065,classical,train
disco__disco.00032,disco,train
country__country.00047,country,train
disco__disco.00019,disco,train
pop__pop.00038,pop,train
rock__rock.00007,rock,train
pop__pop.00028,pop,train
classical__classical.00075,classical,train
jazz__jazz.00068,jazz,train
jazz__jazz.00020,jazz,train
pop__pop.00003,pop,train
jazz__jazz.00043,jazz,train
reggae__reggae.00085,reggae,train
disco__disco.00051,disco,train
country__country.00037,country,train
hiphop__hiphop.00006,hiphop,train
country__country.00061,country,train
blues__blues.00050,blues,train
disco__disco.00033,disco,train
hiphop__hiphop.00044,hiphop,train
blues__blues.00058,blues,train
pop__pop.00020,pop,train
metal__metal.00048,metal,train
hiphop__hiphop.00090,hiphop,train
rock__rock.00036,rock,train
jazz__jazz.00014,jazz,train
metal__metal.00023,metal,train
classical__classical.00063,classical,train
hiphop__hiphop.00062,hiphop,train
jazz__jazz.00056,jazz,train
disco__disco.00006,disco,train
country__country.00036,country,train
classical__classical.00068,classical,train
rock__rock.00053,rock,train
rock__rock.00082,rock,train
reggae__reggae.00034,reggae,train
country__country.00075,country,train
metal__metal.00006,metal,train
jazz__jazz.00033,jazz,train
blues__blues.00026,blues,train
country__country.00058,country,train
reggae__reggae.00004,reggae,train
pop__pop.00078,pop,train
jazz__jazz.00026,jazz,train
hiphop__hiphop.00050,hiphop,train
classical__classical.00051,classical,train
hiphop__hiphop.00025,hiphop,train
classical__classical.00028,classical,train
jazz__jazz.00095,jazz,train
classical__classical.00077,classical,train
country__country.00050,country,train
disco__disco.00060,disco,train
reggae__reggae.00050,reggae,train
reggae__reggae.00067,reggae,train
country__country.00057,country,train
blues__blues.00005,blues,train
reggae__reggae.00001,reggae,train
rock__rock.00028,rock,train
jazz__jazz.00016,jazz,train
reggae__reggae.00061,reggae,train
reggae__reggae.00017,reggae,train
metal__metal.00045,metal,train
country__country.00005,country,train
reggae__reggae.00032,reggae,train
rock__rock.00066,rock,train
reggae__reggae.00009,reggae,train
metal__metal.00025,metal,train
jazz__jazz.00073,jazz,train
pop__pop.00007,pop,train
classical__classical.00042,classical,train
disco__disco.00094,disco,train
blues__blues.00044,blues,train
rock__rock.00071,rock,train
blues__blues.00088,blues,train
classical__classical.00083,classical,train
disco__disco.00046,disco,train
blues__blues.00087,blues,train
classical__classical.00002,classical,train
reggae__reggae.00087,reggae,train
classical__classical.00069,classical,train
jazz__jazz.00040,jazz,train
metal__metal.00011,metal,train
reggae__reggae.00096,reggae,train
reggae__reggae.00037,reggae,train
hiphop__hiphop.00047,hiphop,train
reggae__reggae.00030,reggae,train
blues__blues.00033,blues,train
country__country.00041,country,train
classical__classical.00096,classical,train
metal__metal.00087,metal,train
hiphop__hiphop.00036,hiphop,train
blues__blues.00036,blues,train
pop__pop.00049,pop,train
hiphop__hiphop.00070,hiphop,train
pop__pop.00071,pop,train
pop__pop.00036,pop,train
metal__metal.00099,metal,train
jazz__jazz.00087,jazz,train
rock__rock.00081,rock,train
disco__disco.00054,disco,train
pop__pop.00042,pop,train
reggae__reggae.00036,reggae,train
hiphop__hiphop.00014,hiphop,train
country__country.00021,country,train
rock__rock.00086,rock,train
reggae__reggae.00064,reggae,train
hiphop__hiphop.00078,hiphop,train
disco__disco.00003,disco,train
disco__disco.00027,disco,train
rock__rock.00085,rock,train
country__country.00053,country,train
metal__metal.00008,metal,train
country__country.00078,country,train
rock__rock.00057,rock,train
pop__pop.00083,pop,train
disco__disco.00068,disco,train
classical__classical.00081,classical,train
hiphop__hiphop.00019,hiphop,train
rock__rock.00049,rock,train
pop__pop.00013,pop,train
country__country.00094,country,train
hiphop__hiphop.00017,hiphop,train
country__country.00044,country,train
hiphop__hiphop.00018,hiphop,train
reggae__reggae.00043,reggae,train
blues__blues.00057,blues,train
blues__blues.00053,blues,train
classical__classical.00049,classical,train
country__country.00038,country,train
rock__rock.00008,rock,train
pop__pop.00063,pop,train
metal__metal.00029,metal,train
disco__disco.00013,disco,train
metal__metal.00093,metal,train
reggae__reggae.00000,reggae,train
country__country.00067,country,train
pop__pop.00029,pop,train
disco__disco.00055,disco,train
metal__metal.00026,metal,train
blues__blues.00080,blues,train
jazz__jazz.00046,jazz,train
pop__pop.00094,pop,train
pop__pop.00080,pop,train
classical__classical.00013,classical,train
country__country.00081,country,train
jazz__jazz.00018,jazz,train
blues__blues.00043,blues,train
rock__rock.00070,rock,train
blues__blues.00048,blues,train
reggae__reggae.00078,reggae,train
hiphop__hiphop.00027,hiphop,train
metal__metal.00090,metal,train
rock__rock.00023,rock,train
rock__rock.00021,rock,train
pop__pop.00060,pop,train
jazz__jazz.00093,jazz,train
jazz__jazz.00027,jazz,train
classical__classical.00053,classical,train
rock__rock.00000,rock,train
pop__pop.00065,pop,train
country__country.00002,country,train
rock__rock.00030,rock,train
disco__disco.00087,disco,train
disco__disco.00059,disco,train
disco__disco.00086,disco,train
country__country.00003,country,train
rock__rock.00073,rock,train
disco__disco.00012,disco,train
disco__disco.00039,disco,train
rock__rock.00003,rock,train
blues__blues.00046,blues,train
blues__blues.00023,blues,train
pop__pop.00059,pop,train
classical__classical.00014,classical,train
hiphop__hiphop.00057,hiphop,train
country__country.00091,country,train
metal__metal.00055,metal,train
classical__classical.00046,classical,train
metal__metal.00052,metal,train
blues__blues.00099,blues,train
pop__pop.00019,pop,train
metal__metal.00091,metal,train
pop__pop.00027,pop,train
classical__classical.00000,classical,train
disco__disco.00015,disco,train
hiphop__hiphop.00020,hiphop,train
reggae__reggae.00086,reggae,train
hiphop__hiphop.00053,hiphop,train
blues__blues.00000,blues,train
disco__disco.00049,disco,train
jazz__jazz.00058,jazz,train
metal__metal.00084,metal,train
disco__disco.00040,disco,train
disco__disco.00099,disco,train
pop__pop.00089,pop,train
blues__blues.00001,blues,train
pop__pop.00035,pop,train
classical__classical.00038,classical,train
country__country.00028,country,train
pop__pop.00008,pop,train
disco__disco.00020,disco,train
pop__pop.00054,pop,train
jazz__jazz.00050,jazz,train
country__country.00024,country,train
hiphop__hiphop.00086,hiphop,train
