2026-03-26 15:17:42,390 | INFO | __main__ | MixOnlyDataset: 750 tracks from /home/saber/IITM/DL-GenAI-Project/data/splits/train.csv
2026-03-26 15:17:42,392 | INFO | __main__ | MixOnlyDataset: 150 tracks from /home/saber/IITM/DL-GenAI-Project/data/splits/val.csv
2026-03-26 15:35:23,421 | INFO | __main__ | MixOnlyDataset: 750 tracks from /home/saber/IITM/DL-GenAI-Project/data/splits/train.csv
2026-03-26 15:35:23,423 | INFO | __main__ | MixOnlyDataset: 150 tracks from /home/saber/IITM/DL-GenAI-Project/data/splits/val.csv
2026-03-26 15:37:37,801 | INFO | __main__ | MixOnlyDataset: 750 tracks from /home/saber/IITM/DL-GenAI-Project/data/splits/train.csv
2026-03-26 15:37:37,803 | INFO | __main__ | MixOnlyDataset: 150 tracks from /home/saber/IITM/DL-GenAI-Project/data/splits/val.csv
2026-03-26 15:40:55,266 | INFO | __main__ | MixOnlyDataset: 850 tracks from /tmp/tmpmpe17ynx.csv
2026-03-26 15:40:55,268 | INFO | __main__ | MixOnlyDataset: 150 tracks from /tmp/tmpnxmw8niq.csv
2026-03-26 15:54:41,513 | INFO | __main__ | MixOnlyDataset: 1000 tracks loaded.
2026-03-26 16:28:18,490 | INFO | __main__ | MixOnlyDataset: 850 tracks from /tmp/tmpn4uuri8q.csv
2026-03-26 16:28:18,491 | INFO | __main__ | MixOnlyDataset: 150 tracks from /tmp/tmpt8xf9o4q.csv
