2026-03-23 13:04:13,950 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0065.wav/bass.wav
2026-03-23 13:04:13,949 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0033.wav/bass.wav
2026-03-23 13:04:13,949 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0001.wav/bass.wav
2026-03-23 13:04:13,950 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0097.wav/bass.wav
2026-03-23 13:04:13,952 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0065.wav/drums.wav
2026-03-23 13:04:13,952 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0033.wav/drums.wav
2026-03-23 13:04:13,952 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0097.wav/drums.wav
2026-03-23 13:04:13,952 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0001.wav/drums.wav
2026-03-23 13:04:13,953 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0065.wav/other.wav
2026-03-23 13:04:13,953 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0033.wav/other.wav
2026-03-23 13:04:13,953 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0097.wav/other.wav
2026-03-23 13:04:13,953 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0065.wav/vocals.wav
2026-03-23 13:04:13,953 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0001.wav/other.wav
2026-03-23 13:04:13,954 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0033.wav/vocals.wav
2026-03-23 13:04:13,954 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0097.wav/vocals.wav
2026-03-23 13:04:13,954 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0066.wav/bass.wav
2026-03-23 13:04:13,954 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0001.wav/vocals.wav
2026-03-23 13:04:13,955 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0066.wav/drums.wav
2026-03-23 13:04:13,955 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0098.wav/bass.wav
2026-03-23 13:04:13,955 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0034.wav/bass.wav
2026-03-23 13:04:13,955 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0066.wav/other.wav
2026-03-23 13:04:13,956 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0002.wav/bass.wav
2026-03-23 13:04:13,956 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0066.wav/vocals.wav
2026-03-23 13:04:13,956 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0034.wav/drums.wav
2026-03-23 13:04:13,956 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0098.wav/drums.wav
2026-03-23 13:04:13,956 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0002.wav/drums.wav
2026-03-23 13:04:13,957 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0067.wav/bass.wav
2026-03-23 13:04:13,957 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0002.wav/other.wav
2026-03-23 13:04:13,957 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0034.wav/other.wav
2026-03-23 13:04:13,957 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0098.wav/other.wav
2026-03-23 13:04:13,957 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0067.wav/drums.wav
2026-03-23 13:04:13,957 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0002.wav/vocals.wav
2026-03-23 13:04:13,958 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0098.wav/vocals.wav
2026-03-23 13:04:13,958 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0034.wav/vocals.wav
2026-03-23 13:04:13,958 | WARNING | __main__ | Missing: /home/saber/IITM/DL-GenAI-Project/data/raw/messy_mashup/mashups/song0067.wav/other.wav
